№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
9634,АНИСИМОВ ДМИТРИЙ ВИКТОРОВИЧ,Индивидуальный предприниматель,Микропредприятие,318169000219949,162002593431,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),ЗЕЛЕНОДОЛЬСКИЙ РАЙОН,,СЕЛО ОСИНОВО,Нет,10.01.2019,,,,,Нет,Нет,Нет,Нет,Нет,
9635,АНИСИМОВ ДМИТРИЙ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318352500022398,352512188750,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,ГОРОД ВОЛОГДА,,Нет,10.05.2018,10.09.2019,,,,Нет,Нет,Нет,Нет,Нет,
9636,АНИСИМОВ ДМИТРИЙ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322619600151973,616111167538,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,Песчанокопский р-н,,с Поливянка,Нет,10.09.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
9637,АНИСИМОВ ЕВГЕНИЙ АЛЕКСАНДРОВИЧ,Индивидуальный предприниматель,Микропредприятие,324220200002132,222211237762,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,,г Барнаул,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
9638,АНИСИМОВ ЕВГЕНИЙ КОНСТАНТИНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323253600107957,253813566797,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Да,10.01.2024,,,,,Нет,Нет,Нет,Нет,Нет,
9639,АНИСИМОВ ЕВГЕНИЙ ОЛЕГОВИЧ,Индивидуальный предприниматель,Микропредприятие,317237500336510,233903379439,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Курганинский р-н,г Курганинск,,Нет,10.10.2017,,,,,Нет,Нет,Нет,Нет,Нет,
9640,АНИСИМОВ ИВАН АНДРЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323784700142421,780158733104,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Да,10.06.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9641,АНИСИМОВ ИВАН ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321595800048186,810401152337,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,Кочевский р-н,,п Усть-Силайка,Нет,10.06.2021,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
9642,АНИСИМОВ ИВАН МИХАЙЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,314723229300156,720604424100,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,ГОРОД ТОБОЛЬСК,,Нет,01.08.2016,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
9643,АНИСИМОВ ИГОРЬ АЛЕКСЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,321774600459088,772146093400,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.09.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9644,АНИСИМОВ ИГОРЬ БОРИСОВИЧ,Индивидуальный предприниматель,Микропредприятие,321665800108977,666006033209,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,Нет,10.07.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9645,АНИСИМОВ ИГОРЬ ВИКТОРОВИЧ,Индивидуальный предприниматель,Микропредприятие,320183200004667,182704623810,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,,ГОРОД ИЖЕВСК,,Нет,10.02.2020,,,,,Нет,Нет,Нет,Нет,Нет,
9646,АНИСИМОВ ИГОРЬ ВИКТОРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,313121803700011,121301316397,41.2 Строительство жилых и нежилых зданий,12 - Республика Марий Эл,СОВЕТСКИЙ РАЙОН,,ДЕРЕВНЯ МИХАЙЛОВКА,Нет,01.08.2016,10.02.2019,,,,Нет,Нет,Нет,Нет,Нет,
9647,АНИСИМОВ ИГОРЬ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,323527500008570,526317134963,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Да,10.02.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9648,АНИСИМОВ КИРИЛЛ ВЕНИАМИНОВИЧ,Индивидуальный предприниматель,Микропредприятие,321213000051613,212405685855,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Новочебоксарск,,Нет,10.11.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9649,АНИСИМОВ КИРИЛЛ СТАНИСЛАВОВИЧ,Индивидуальный предприниматель,Микропредприятие,323112100003713,111302422955,41.20 Строительство жилых и нежилых зданий,11 - Республика Коми,Корткеросский р-н,,с Корткерос,Да,10.03.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9650,АНИСИМОВ КОНСТАНТИН СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,317595800103671,591880890693,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,БЕРЕЗОВСКИЙ РАЙОН,,ДЕРЕВНЯ МЕТАЛЬНИКОВО,Нет,10.11.2017,10.02.2018,,,,Нет,Нет,Нет,Нет,Нет,
9651,АНИСИМОВ ЛЕОНИД СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323470400047439,470103182171,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Бокситогорский р-н,,д Окулово (Самойловское с/п),Да,10.05.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9652,АНИСИМОВ МАКСИМ ДМИТРИЕВИЧ,Индивидуальный предприниматель,Микропредприятие,323366800014321,366605901872,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,Да,10.03.2023,,,,,Нет,Нет,Нет,Нет,Нет,
9653,АНИСИМОВ МАКСИМ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Микропредприятие,311662303900015,662330992633,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,Город Нижний Тагил,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9654,АНИСИМОВ МАКСИМ ЮРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,321213000005032,211401569655,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Урмарский р-н,,пгт Урмары,Нет,10.03.2021,,,,,Нет,Нет,Нет,Нет,Нет,
9655,АНИСИМОВ МИХАИЛ АНАТОЛЬЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322623400048128,621900417736,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,Скопинский р-н,,с Чулково,Нет,10.01.2023,10.03.2023,,,,Нет,Нет,Нет,Нет,Нет,
9656,АНИСИМОВ МИХАИЛ МИХАЙЛОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320290100004680,290138385437,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,ГОРОД АРХАНГЕЛЬСК,,Нет,10.03.2020,10.02.2021,,,,Нет,Нет,Нет,Нет,Нет,
9657,Анисимов Михаил Николаевич,Индивидуальный предприниматель,Микропредприятие,309619312600099,616601946340,41.2 Строительство жилых и нежилых зданий,61 - Ростовская область,,Город Ростов-на-Дону,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,
9658,АНИСИМОВ МИХАИЛ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,316527500011939,526221091500,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,ГОРОД НИЖНИЙ НОВГОРОД,,Нет,01.08.2016,10.02.2017,,,,Нет,Нет,Нет,Нет,Нет,
